,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
39,Bloomfield Hills,4027,5,0,1,1,3,25,4,19,2,0
40,Bloomfield Township,42326,11,0,1,1,9,324,41,267,16,0
41,Boyne City,3752,13,0,3,0,10,26,0,25,1,0
42,Brandon Township,16121,12,0,2,0,10,50,10,36,4,0
43,Breckenridge,1261,0,0,0,0,0,7,0,6,1,0
44,Bridgeport Township,9778,49,0,5,3,41,124,36,80,8,0
45,Bridgman,2224,3,0,0,0,3,16,0,14,2,0
46,Brighton,7684,9,1,4,0,4,154,8,143,3,0
47,Bronson,2308,11,0,5,1,5,50,6,39,5,0
48,Brown City,1240,2,0,0,0,2,15,0,14,1,0
49,Brownstown Township,32083,75,0,12,4,59,296,49,210,37,7
50,Buchanan,4274,21,0,7,0,14,108,13,88,7,2
51,Buena Vista Township,8095,92,2,8,8,74,171,59,98,14,0
52,Cadillac,10466,52,0,17,1,34,355,30,310,15,4
53,Calumet,691,0,0,0,0,0,3,1,2,0,0
54,Cambridge Township,5657,5,0,3,0,2,27,6,18,3,0
55,Canton Township,93406,120,1,30,6,83,1086,113,919,54,5
56,Capac,1822,5,0,0,0,5,23,8,14,1,0
57,Caro,3969,12,0,4,0,8,77,4,68,5,0
58,Carrollton Township,5626,10,2,0,0,8,64,22,41,1,1
59,Carson City,1117,3,0,3,0,0,3,0,3,0,0
60,Caseville,731,0,0,0,0,0,14,2,12,0,0
61,Caspian-Gaastra,1165,4,0,0,0,4,3,1,2,0,1
62,Cass City,2268,1,0,1,0,0,38,3,35,0,0
63,Cassopolis,1695,2,0,2,0,0,14,1,11,2,0
64,Center Line,8232,28,0,4,4,20,135,13,112,10,0
65,Central Lake,938,0,0,0,0,0,0,0,0,0,0
66,Charlevoix,2498,10,0,6,0,4,36,6,27,3,1
67,Charlotte,9088,28,0,7,3,18,175,20,143,12,0
68,Cheboygan,4695,18,0,8,0,10,88,7,80,1,1
69,Chelsea,5543,4,0,0,0,4,72,3,66,3,0
70,Chesaning,2238,2,0,0,0,2,7,1,6,0,0
71,Chesterfield Township,46774,87,0,12,10,65,559,68,470,21,5
72,Chikaming Township,3108,5,0,2,1,2,50,19,30,1,0
