,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
282,Mountainside,6888,3,0,0,0,3,52,9,36,7,1
283,Mount Arlington,5964,0,0,0,0,0,27,3,23,1,0
284,Mount Ephraim,4567,5,0,0,1,4,179,7,169,3,0
285,Mount Holly Township,9568,27,0,8,7,12,190,20,163,7,0
286,Mount Laurel Township,41109,57,1,15,17,24,597,45,524,28,0
287,Mount Olive Township,29025,14,0,5,3,6,112,19,92,1,0
288,Mullica Township,5897,2,0,0,1,1,71,22,43,6,0
289,National Park,2934,3,1,0,0,2,23,8,15,0,0
290,Neptune City,4625,11,0,0,2,9,118,6,112,0,0
291,Neptune Township,27549,95,2,2,18,73,871,72,786,13,4
292,Netcong,3151,11,0,5,0,6,28,2,25,1,0
293,Newark,281422,1742,57,120,636,929,4618,721,2356,1541,21
294,New Brunswick,55995,262,3,11,96,152,1111,223,823,65,0
295,Newfield,1537,2,0,0,0,2,8,2,5,1,0
296,New Hanover Township,8123,1,0,0,0,1,0,0,0,0,0
297,New Milford,16506,1,0,0,0,1,64,8,53,3,0
298,New Providence,13592,0,0,0,0,0,35,5,29,1,0
299,Newton,7916,14,0,4,0,10,63,8,55,0,0
300,North Arlington,15710,19,0,0,6,13,158,9,132,17,0
301,North Bergen Township,61447,90,1,16,17,56,404,54,306,44,1
302,North Brunswick Township,41706,61,0,4,17,40,605,52,517,36,0
303,North Caldwell,6645,5,0,1,0,4,22,10,8,4,0
304,Northfield,8163,4,0,0,0,4,86,13,66,7,0
305,North Haledon,8379,3,0,1,0,2,49,5,39,5,0
306,North Hanover Township,7476,3,0,0,0,3,18,3,13,2,0
307,North Plainfield,21474,47,1,10,26,10,281,36,234,11,0
308,Northvale,4937,0,0,0,0,0,9,0,8,1,0
309,North Wildwood,3763,6,0,1,1,4,144,12,131,1,0
310,Norwood,5816,1,0,1,0,0,19,6,10,3,0
311,Nutley Township,28384,28,0,0,6,22,164,26,117,21,0
312,Oakland,12992,5,0,0,1,4,53,5,46,2,0
313,Oaklyn,3936,5,0,1,1,3,127,39,83,5,0
314,Ocean City,10962,6,0,0,2,4,323,37,285,1,0
315,Ocean Gate,2025,1,0,0,1,0,24,7,17,0,0
316,Oceanport,5739,12,0,2,2,8,43,8,33,2,0
317,"Ocean Township, Monmouth County",26638,17,1,0,4,12,582,60,499,23,1
318,"Ocean Township, Ocean County",9134,4,0,1,0,3,38,6,32,0,0
319,Ogdensburg,2247,0,0,0,0,0,10,0,9,1,0
320,Old Bridge Township,65659,39,2,1,12,24,477,60,378,39,1
321,Old Tappan,5944,0,0,0,0,0,12,2,6,4,0
322,Oradell,8181,2,0,0,0,2,21,7,13,1,0
323,Orange City,30558,190,4,13,96,77,635,140,337,158,10
324,Oxford Township,2423,1,0,0,0,1,6,2,4,0,0
325,Palisades Park,20877,16,0,1,4,11,106,19,81,6,0
326,Palmyra,7134,8,1,1,0,6,120,17,100,3,2
327,Paramus,26460,44,0,2,8,34,919,24,871,24,0
328,Park Ridge,8761,1,0,0,1,0,9,2,6,1,0
329,Parsippany-Troy Hills Township,51907,23,1,9,3,10,326,59,233,34,0
330,Passaic,69639,369,1,6,166,196,1215,133,923,159,2
331,Paterson,144866,1219,19,54,464,682,3132,847,1829,456,24
332,Paulsboro,5828,14,0,0,5,9,114,23,79,12,0
333,Peapack-Gladstone,2591,0,0,0,0,0,18,8,5,5,0
334,Pemberton Borough,1321,3,0,0,2,1,28,9,19,0,0
335,Pemberton Township,26966,72,1,2,11,58,435,114,299,22,6
336,Pennington,2516,0,0,0,0,0,8,1,5,2,0
337,Pennsauken Township,35506,111,1,2,41,67,848,197,578,73,1
338,Penns Grove,4746,51,1,8,14,28,154,31,110,13,2
339,Pennsville Township,12345,18,0,0,3,15,198,19,171,8,0
340,Pequannock Township,15045,7,0,0,3,4,73,13,60,0,0
341,Perth Amboy,51816,147,0,2,30,115,697,110,511,76,2
342,Phillipsburg,14228,30,0,14,5,11,304,37,254,13,3
343,Pine Beach,2173,1,0,0,0,1,23,3,20,0,0
344,Pine Hill,10419,30,0,1,4,25,143,29,110,4,0
345,Pine Valley,12,0,0,0,0,0,0,0,0,0,0
346,Piscataway Township,56783,47,0,7,5,35,443,45,376,22,0
347,Pitman,8709,4,0,0,2,2,55,12,42,1,0
348,Plainfield,50576,192,3,2,90,97,805,140,607,58,10
349,Plainsboro Township,22976,9,1,0,0,8,151,12,135,4,0
350,Pleasantville,20388,65,1,4,26,34,271,90,156,25,0
351,Plumsted Township,8545,5,0,1,0,4,32,12,19,1,0
352,Pohatcong Township,3181,0,0,0,0,0,230,21,208,1,0
353,Point Pleasant,18684,15,0,0,0,15,116,24,87,5,0
354,Point Pleasant Beach,4516,5,0,0,1,4,54,20,24,10,0
355,Pompton Lakes,10953,8,0,1,0,7,58,5,51,2,0
356,Princeton,31610,10,0,1,0,9,238,45,190,3,4
357,Prospect Park,5831,5,0,2,1,2,83,12,62,9,0
358,Rahway,30072,32,1,1,10,20,157,25,103,29,0
359,Ramsey,14978,3,0,0,2,1,161,3,155,3,0
360,Randolph Township,25490,8,0,1,1,6,99,10,81,8,0
361,Raritan,7999,6,0,3,1,2,61,11,45,5,0
362,Raritan Township,22220,8,0,0,1,7,64,7,55,2,0
363,Readington Township,15805,11,0,1,0,10,61,15,40,6,1
364,Red Bank,12016,13,0,4,4,5,126,14,108,4,0
365,Ridgefield,11240,6,0,0,0,6,49,3,38,8,0
366,Ridgefield Park,12983,7,0,0,2,5,124,6,108,10,1
367,Ridgewood,25192,13,0,0,2,11,143,22,108,13,0
368,Ringwood,12165,5,0,1,0,4,42,6,34,2,0
369,Riverdale,4255,2,0,0,0,2,96,9,83,4,1
370,River Edge,11500,2,0,1,1,0,72,7,62,3,0
371,Riverside Township,7806,14,0,1,1,12,36,4,31,1,0
372,Riverton,2675,0,0,0,0,0,25,2,23,0,0
373,River Vale Township,10063,0,0,0,0,0,20,1,18,1,0
374,Robbinsville Township,14635,2,0,2,0,0,51,6,43,2,0
375,Rochelle Park Township,5598,4,0,0,3,1,66,11,53,2,0
376,Rockaway,6325,1,0,0,1,0,53,13,37,3,0
377,Rockaway Township,25756,13,0,0,2,11,231,20,203,8,1
378,Rockleigh,531,0,0,0,0,0,2,0,2,0,0
379,Roseland,5826,2,0,0,0,2,34,0,26,8,0
380,Roselle,21903,67,1,1,16,49,339,51,255,33,2
381,Roselle Park,13630,2,0,2,0,0,135,11,115,9,0
382,Roxbury Township,22755,3,0,0,2,1,101,13,88,0,0
383,Rumson,6740,0,0,0,0,0,57,7,36,14,0
384,Runnemede,8262,7,0,0,0,7,144,24,112,8,0
385,Rutherford,18423,12,0,2,2,8,181,20,145,16,0
386,Saddle Brook Township,13897,1,0,0,1,0,220,5,214,1,0
387,Saddle River,3186,2,0,0,0,2,30,5,22,3,0
388,Salem,4702,73,2,3,19,49,227,77,124,26,12
389,Sayreville,44581,34,0,0,8,26,310,42,231,37,0
390,Scotch Plains Township,24383,14,0,2,3,9,162,50,105,7,0
391,Sea Bright,1352,2,0,1,0,1,11,2,9,0,0
392,Sea Girt,1764,1,0,0,0,1,12,1,11,0,0
393,Sea Isle City,2035,0,0,0,0,0,89,16,73,0,0
394,Seaside Heights,2902,12,0,0,1,11,166,21,141,4,0
395,Seaside Park,1538,3,0,0,1,2,20,6,14,0,0
396,Secaucus,21217,41,0,3,11,27,516,31,466,19,1
397,Ship Bottom,1144,0,0,0,0,0,18,0,18,0,0
398,Shrewsbury,4122,6,0,0,1,5,88,4,79,5,0
399,Somerdale,5492,12,0,0,2,10,263,23,236,4,2
400,Somers Point,10224,11,0,2,2,7,260,22,229,9,0
401,Somerville,12198,11,0,0,8,3,138,11,117,10,0
402,South Amboy,8922,2,0,0,0,2,67,10,46,11,0
403,South Bound Brook,4570,1,0,0,1,0,43,6,36,1,0
404,South Brunswick Township,46038,17,0,4,5,8,254,36,204,14,3
405,South Hackensack Township,2465,13,1,0,3,9,43,5,31,7,0
406,South Harrison Township,3122,1,0,0,0,1,13,1,11,1,0
407,South Orange Village,16740,13,0,0,9,4,279,21,233,25,0
408,South Plainfield,24114,30,0,0,8,22,394,34,343,17,1
409,South River,15945,35,0,7,6,22,102,13,80,9,0
410,South Toms River,3780,7,0,0,2,5,32,6,24,2,0
411,Sparta Township,18532,4,0,0,0,4,31,2,27,2,0
412,Spotswood,8276,2,0,0,1,1,52,8,43,1,0
413,"Springfield Township, Burlington County",3252,2,0,0,0,2,18,1,15,2,0
414,"Springfield Township, Union County",17661,3,0,0,2,1,134,19,105,10,0
415,Spring Lake,2917,0,0,0,0,0,34,4,29,1,0
416,Spring Lake Heights,4538,1,0,0,0,1,13,2,10,1,0
417,Stafford Township,27609,32,0,4,1,27,232,19,205,8,1
418,Stanhope,3281,1,0,1,0,0,27,7,18,2,0
419,Stone Harbor,804,2,0,0,0,2,106,14,91,1,1
420,Stratford,6926,10,0,1,6,3,60,8,51,1,0
421,Summit,21980,3,0,1,2,0,136,9,118,9,0
422,Surf City,1193,2,0,2,0,0,8,3,5,0,0
423,Swedesboro,2565,0,0,0,0,0,36,4,31,1,0
424,Tavistock,5,0,0,0,0,0,0,0,0,0,0
425,Teaneck Township,40533,56,1,11,12,32,364,49,304,11,1
426,Tenafly,14586,1,0,0,1,0,89,14,63,12,1
427,Teterboro,68,0,0,0,0,0,102,0,99,3,0
